Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
group_1548	0	1	0	0	1	1	1	1	1
group_1549	0	1	0	0	1	1	1	1	1
group_1550	0	1	0	0	1	1	1	1	1
group_1551	0	1	0	0	1	1	1	1	1
group_1552	0	1	0	0	1	1	1	1	1
group_1553	0	1	0	0	1	1	1	1	1
group_1554	0	1	0	0	1	1	1	1	1
hitC_8	0	1	0	0	1	1	1	1	1
oppF_1	0	1	0	0	1	1	1	1	1
oppF_2	0	1	0	0	1	1	1	1	1
ybtP	0	1	0	0	1	1	1	1	1
fepC	0	1	0	0	1	1	1	1	1
group_1560	0	1	0	0	1	1	1	1	1
group_1562	0	1	0	0	1	1	1	1	1
group_1563	0	1	0	0	1	1	1	1	1
oppC1	0	1	0	0	1	1	1	1	1
oppB_1	0	1	0	0	1	1	1	1	1
oppB_2	0	1	0	0	1	1	1	1	1
group_1567	0	1	0	0	1	1	1	1	1
group_1568	0	1	0	0	1	1	1	1	1
group_1569	0	1	0	0	1	1	1	1	1
group_1570	0	1	0	0	1	1	1	1	1
group_1571	0	1	0	0	1	1	1	1	1
group_1572	0	1	0	0	1	1	1	1	1
group_1573	0	1	0	0	1	1	1	1	1
tpx	0	1	0	0	1	1	1	1	1
MCYN0500_1	0	1	0	0	1	1	1	1	1
MCYN0500_2	0	1	0	0	1	1	1	1	1
group_1577	0	1	0	0	1	1	1	1	1
group_1578	0	1	0	0	1	1	1	1	1
group_1579	0	1	0	0	1	1	1	1	1
group_1580	0	1	0	0	1	1	1	1	1
rpoD	0	1	0	0	1	1	1	1	1
group_1582	0	1	0	0	1	1	1	1	1
group_1583	0	1	0	0	1	1	1	1	1
dnaG	0	1	0	0	1	1	1	1	1
glyS_1	0	1	0	0	1	1	1	1	1
glyS_2	0	1	0	0	1	1	1	1	1
group_1587	0	1	0	0	1	1	1	1	1
group_1588	0	1	0	0	1	1	1	1	1
group_1589	0	1	0	0	1	1	1	1	1
group_1590	0	1	0	0	1	1	1	1	1
trmU_2	0	1	0	0	1	1	1	1	1
mnmA	0	1	0	0	1	1	1	1	1
alaS_1	0	1	0	0	1	1	1	1	1
alaS_2	0	1	0	0	1	1	1	1	1
alaS_3	0	1	0	0	1	1	1	1	1
group_1596	0	1	0	0	1	1	1	1	1
group_1597	0	1	0	0	1	1	1	1	1
group_1598	0	1	0	0	1	1	1	1	1
greA	0	1	0	0	1	1	1	1	1
dgk1	0	1	0	0	1	1	1	1	1
MCYN0418	0	1	0	0	1	1	1	1	1
xfp	0	1	0	0	1	1	1	1	1
group_1603	0	1	0	0	1	1	1	1	1
group_1604	0	1	0	0	1	1	1	1	1
group_1605	0	1	0	0	1	1	1	1	1
group_1606	0	1	0	0	1	1	1	1	1
group_1607	0	1	0	0	1	1	1	1	1
group_1608	0	1	0	0	1	1	1	1	1
group_1609	0	1	0	0	1	1	1	1	1
group_1610	0	1	0	0	1	1	1	1	1
mgtE	0	1	0	0	1	1	1	1	1
group_1612	0	1	0	0	1	1	1	1	1
group_1613	0	1	0	0	1	1	1	1	1
group_1614	0	1	0	0	1	1	1	1	1
group_1615	0	1	0	0	1	1	1	1	1
group_1616	0	1	0	0	1	1	1	1	1
patA_1	0	1	0	0	1	1	1	1	1
patA_2	0	1	0	0	1	1	1	1	1
lmrD	0	1	0	0	1	1	1	1	1
patB	0	1	0	0	1	1	1	1	1
group_1621	0	1	0	0	1	1	1	1	1
group_1622	0	1	0	0	1	1	1	1	1
group_1623	0	1	0	0	1	1	1	1	1
group_1624	0	1	0	0	1	1	1	1	1
group_1625	0	1	0	0	1	1	1	1	1
group_1626	0	1	0	0	1	1	1	1	1
group_1627	0	1	0	0	1	1	1	1	1
group_1628	0	1	0	0	1	1	1	1	1
hsdS_4	0	1	0	0	1	1	1	1	1
MCYN0276	0	1	0	0	1	1	1	1	1
secA_1	0	1	0	0	1	1	1	1	1
secA_2	0	1	0	0	1	1	1	1	1
group_1633	0	1	0	0	1	1	1	1	1
pgm	0	1	0	0	1	1	1	1	1
dnaX_1	0	1	0	0	1	1	1	1	1
dnaX_2	0	1	0	0	1	1	1	1	1
group_1637	0	1	0	0	1	1	1	1	1
recR	0	1	0	0	1	1	1	1	1
MCYN0832	0	1	0	0	1	1	1	1	1
group_1640	0	1	0	0	1	1	1	1	1
group_1641	0	1	0	0	1	1	1	1	1
group_1642	0	1	0	0	1	1	1	1	1
group_1643	0	1	0	0	1	1	1	1	1
group_1644	0	1	0	0	1	1	1	1	1
group_1645	0	1	0	0	1	1	1	1	1
group_1646	0	1	0	0	1	1	1	1	1
group_1647	0	1	0	0	1	1	1	1	1
whiA	0	1	0	0	1	1	1	1	1
holA_1	0	1	0	0	1	1	1	1	1
holA_2	0	1	0	0	1	1	1	1	1
group_1651	0	1	0	0	1	1	1	1	1
rplQ	0	1	0	0	1	1	1	1	1
rpoA	0	1	0	0	1	1	1	1	1
group_1654	0	1	0	0	1	1	1	1	1
group_1655	0	1	0	0	1	1	1	1	1
rpsM	0	1	0	0	1	1	1	1	1
infA	0	1	0	0	1	1	1	1	1
map	0	1	0	0	1	1	1	1	1
adk	0	1	0	0	1	1	1	1	1
secY_1	0	1	0	0	1	1	1	1	1
secY_2	0	1	0	0	1	1	1	1	1
group_1662	0	1	0	0	1	1	1	1	1
group_1663	0	1	0	0	1	1	1	1	1
group_1664	0	1	0	0	1	1	1	1	1
group_1665	0	1	0	0	1	1	1	1	1
group_1666	0	1	0	0	1	1	1	1	1
atpC	0	1	0	0	1	1	1	1	1
yscN	0	1	0	0	1	1	1	1	1
atpG	0	1	0	0	1	1	1	1	1
pscN	0	1	0	0	1	1	1	1	1
bsaS	0	1	0	0	1	1	1	1	1
atpA	0	1	0	0	1	1	1	1	1
atpH	0	1	0	0	1	1	1	1	1
atpF	0	1	0	0	1	1	1	1	1
atpE	0	1	0	0	1	1	1	1	1
atpB_1	0	1	0	0	1	1	1	1	1
atpI	0	1	0	0	1	1	1	1	1
flhF	0	1	0	0	1	1	1	1	1
group_1679	0	1	0	0	1	1	1	1	1
gcp	0	1	0	0	1	1	1	1	1
glyA_1	0	1	0	0	1	1	1	1	1
glyA_2	0	1	0	0	1	1	1	1	1
group_1683	0	1	0	0	1	1	1	1	1
pheT_1	0	1	0	0	1	1	1	1	1
pheT_2	0	1	0	0	1	1	1	1	1
ung	0	1	0	0	1	1	1	1	1
pheS_1	0	1	0	0	1	1	1	1	1
MCYN0468	0	1	0	0	1	1	1	1	1
pheS_3	0	1	0	0	1	1	1	1	1
mgs1	0	1	0	0	1	1	1	1	1
rnhB1_1	0	1	0	0	1	1	1	1	1
rnhB1_2	0	1	0	0	1	1	1	1	1
group_1693	0	1	0	0	1	1	1	1	1
group_1695	0	1	0	0	1	1	1	1	1
group_1696	0	1	0	0	1	1	1	1	1
group_1697	0	1	0	0	1	1	1	1	1
dnaJ	0	1	0	0	1	1	1	1	1
MCYN0748	0	1	0	0	1	1	1	1	1
cmk	0	1	0	0	1	1	1	1	1
